solver,variant,implementation,nranks,n1,n2,n3,m,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,forward_exchange_s_max,reduced_compute_s_max,backward_exchange_s_max,update_compute_s_max,compute_s_max,communication_s_max
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,6,10,device,0.028418938,0.028418938,0.024470062,0.000177086,0.000150526,2.7521e-05,0.003593463,0.028214051,0.000204607
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,7,10,device,0.028625158,0.028625158,0.024689502,0.000175683,0.000151257,2.8103e-05,0.003580424,0.028421183,0.000203786
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,8,10,device,0.028425047,0.028425047,0.024494338,0.000175804,0.000150836,2.7471e-05,0.003576407,0.028221581,0.000203275
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,9,10,device,0.028637886,0.028637886,0.02470876,0.000174452,0.000150045,2.7351e-05,0.003577098,0.028435903,0.000201803
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,0,10,device,0.068998686,0.0689746545,0.020153043,0.042271416,0.000211668,0.002074032,0.004490258,0.024854969,0.044345448
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,1,10,device,0.022973496,0.022972965,0.018153112,0.000266551,4.1031e-05,4.1672e-05,0.004475576,0.022669719,0.000308223
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,2,10,device,0.022832675,0.022832144,0.018130408,0.000149625,4.0731e-05,3.9229e-05,0.004475025,0.022645473,0.000188373
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,3,10,device,0.022839435,0.022834783,0.018143087,0.000147101,4.5288e-05,4.3405e-05,0.004470139,0.02264942,0.000190506
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,4,10,device,0.022835399,0.02283294,0.018145942,0.000157246,4.0821e-05,3.2558e-05,0.004470419,0.022652986,0.000189804
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,5,10,device,0.022826726,0.0228258095,0.018141895,0.000143155,4.0891e-05,3.3079e-05,0.004470418,0.022653054,0.000175534
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,6,10,device,0.022845664,0.0228453685,0.018137919,0.000162855,4.1422e-05,3.5633e-05,0.004470959,0.022649759,0.000198488
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,7,10,device,0.022826345,0.0228214325,0.01813124,0.000145929,4.0601e-05,3.282e-05,0.004476528,0.022647107,0.000178728
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,8,10,device,0.022857241,0.022855904,0.01814521,0.000174442,4.0591e-05,3.2578e-05,0.004473293,0.022656149,0.000207001
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,9,10,device,0.022840276,0.02283974,0.018146723,0.000158358,4.0982e-05,3.306e-05,0.00447147,0.022657943,0.000191027
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,0,10,device,0.129945337,0.1298793305,0.011693989,0.112620899,0.000453891,0.003172841,0.0021529,0.014264035,0.11579374
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,1,10,device,0.011506247,0.011502812,0.008936652,0.000321191,7.1948e-05,8.8142e-05,0.002130117,0.011138466,0.000409333
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,2,10,device,0.01146779,0.01145895875,0.008925695,0.000299029,7.1828e-05,7.2369e-05,0.002131148,0.011124223,0.000361913
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,3,10,device,0.011465596,0.011461903,0.008924472,0.000307212,7.1598e-05,6.8883e-05,0.002132761,0.011124774,0.000369656
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,4,10,device,0.011451866,0.0114490215,0.008917983,0.000309083,7.1668e-05,6.1583e-05,0.002131068,0.01111556,0.000370666
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,5,10,device,0.011445156,0.01144254925,0.008924303,0.000297687,7.1307e-05,6.0371e-05,0.002130136,0.011123524,0.000358058
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,6,10,device,0.011451375,0.01144459225,0.008918544,0.000289104,7.1878e-05,7.0726e-05,0.00213222,0.011120458,0.000354923
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,7,10,device,0.011446217,0.01144382875,0.008926736,0.000291869,7.1527e-05,5.6946e-05,0.002130707,0.011123983,0.000346912
